Link2Space track file / LorettOrbital 0.0.4
StationName: l2s
Station Position: 43.8302	55.397	130
Satellite: FENGYUN 3B
Start date & time: 2022-03-07   03:28:03 UTC
Orbit: 58649
Time(UTC)		Azimuth(d)	Elevation(d) X(m)		Y(m)

03:28:03   037:36   055:00
03:28:04   037:55   055:23
03:28:05   038:15   055:46
03:28:06   038:35   056:10
03:28:07   038:56   056:33
03:28:08   039:18   056:57
03:28:09   039:40   057:21
03:28:10   040:03   057:45
03:28:11   040:27   058:09
03:28:12   040:51   058:33
03:28:13   041:16   058:58
03:28:14   041:42   059:22
03:28:15   042:09   059:46
03:28:16   042:36   060:11
03:28:17   043:05   060:35
03:28:18   043:34   061:00
03:28:19   044:05   061:25
03:28:20   044:36   061:49
03:28:21   045:08   062:14
03:28:22   045:42   062:39
03:28:23   046:17   063:04
03:28:24   046:53   063:29
03:28:25   047:30   063:53
03:28:26   048:08   064:18
03:28:27   048:48   064:43
03:28:28   049:30   065:07
03:28:29   050:13   065:32
03:28:30   050:57   065:57
03:28:31   051:44   066:21
03:28:32   052:32   066:45
03:28:33   053:22   067:09
03:28:34   054:14   067:34
03:28:35   055:08   067:57
03:28:36   056:04   068:21
03:28:37   057:02   068:44
03:28:38   058:03   069:08
03:28:39   059:06   069:31
03:28:40   060:12   069:53
03:28:41   061:20   070:16
03:28:42   062:31   070:37
03:28:43   063:45   070:59
03:28:44   065:03   071:20
03:28:45   066:23   071:41
03:28:46   067:46   072:01
03:28:47   069:13   072:20
03:28:48   070:43   072:39
03:28:49   072:16   072:57
03:28:50   073:53   073:15
03:28:51   075:34   073:32
03:28:52   077:18   073:48
03:28:53   079:06   074:03
03:28:54   080:57   074:17
03:28:55   082:52   074:31
03:28:56   084:50   074:43
03:28:57   086:51   074:55
03:28:58   088:56   075:05
03:28:59   091:03   075:14
03:29:00   093:13   075:22
03:29:01   095:25   075:29
03:29:02   097:39   075:34
03:29:03   099:54   075:38
03:29:04   102:11   075:41
03:29:05   104:28   075:43
03:29:06   106:46   075:43
03:29:07   109:04   075:42
03:29:08   111:21   075:40
03:29:09   113:37   075:36
03:29:10   115:52   075:31
03:29:11   118:05   075:25
03:29:12   120:15   075:17
03:29:13   122:24   075:09
03:29:14   124:29   074:59
03:29:15   126:32   074:48
03:29:16   128:32   074:36
03:29:17   130:28   074:23
03:29:18   132:21   074:09
03:29:19   134:10   073:54
03:29:20   135:55   073:38
03:29:21   137:38   073:22
03:29:22   139:16   073:04
03:29:23   140:51   072:46
03:29:24   142:23   072:28
03:29:25   143:51   072:08
03:29:26   145:16   071:48
03:29:27   146:37   071:28
03:29:28   147:56   071:07
03:29:29   149:11   070:45
03:29:30   150:23   070:24
03:29:31   151:33   070:01
03:29:32   152:40   069:39
03:29:33   153:44   069:16
03:29:34   154:46   068:53
03:29:35   155:45   068:29
03:29:36   156:42   068:06
03:29:37   157:37   067:42
03:29:38   158:30   067:18
03:29:39   159:21   066:54
03:29:40   160:10   066:29
03:29:41   160:57   066:05
03:29:42   161:42   065:40
03:29:43   162:26   065:15
03:29:44   163:08   064:51
03:29:45   163:48   064:26
03:29:46   164:28   064:01
03:29:47   165:05   063:36
03:29:48   165:42   063:11
03:29:49   166:17   062:46
03:29:50   166:51   062:22
03:29:51   167:24   061:57
03:29:52   167:56   061:32
03:29:53   168:27   061:07
03:29:54   168:56   060:42
03:29:55   169:25   060:18
03:29:56   169:53   059:53
03:29:57   170:20   059:28
03:29:58   170:46   059:04
03:29:59   171:12   058:40
03:30:00   171:36   058:15
03:30:01   172:00   057:51
03:30:02   172:24   057:27
03:30:03   172:46   057:03
03:30:04   173:08   056:39
03:30:05   173:29   056:15
03:30:06   173:50   055:51
03:30:07   174:10   055:28
